0.504,0.725,0.461904761904762,0.902518315018315,0.207046711458476,0.593452380952381,0.0963327566303384,0.162980060130066,0.128879700978327,0.0438415452041329,0.0427377576603663,0.0706367319635778,0.56,0.64,0.44,0.4,0.48,100,16,0.0001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.512,0.55,0.504761904761905,0.861222079589217,0.165189964157706,0.527380952380952,0.109178752511649,0.259205516916596,0.176093924639053,0.0334059884156439,0.0352937814145633,0.0531314605248686,0.5,0.46,0.48,0.42,0.7,100,16,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.512,0.55,0.504761904761905,0.861222079589217,0.165189964157706,0.527380952380952,0.109178752511649,0.259205516916596,0.176093924639053,0.0334059884156439,0.0352937814145633,0.0531314605248686,0.5,0.46,0.48,0.42,0.7,100,16,0.001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.492,0.65,0.461904761904762,nan,0.194163561076605,0.555952380952381,0.187936159373336,0.205395959064437,0.260058427065012,nan,0.0305024743334767,0.0487859263515343,0.16,0.54,0.62,0.56,0.58,100,16,0.01,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.42,0.325,0.438095238095238,0.777013574660633,0.094969696969697,0.381547619047619,0.0469041575982343,0.227073776557312,0.062087641954311,0.051714488504552,0.0577339732053433,0.102135815330581,0.4,0.5,0.38,0.4,0.42,100,16,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.652,0.675,0.647619047619048,0.922504456327986,0.277477375565611,0.661309523809524,0.105451410611713,0.227073776557312,0.166155679260647,0.046345382556637,0.0351689082406103,0.0422681920205885,0.7,0.76,0.72,0.56,0.52,100,16,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.68,0.7,0.676190476190476,0.925187129701649,0.290052700922266,0.688095238095238,0.0469041575982343,0.189571886101289,0.0764133644565772,0.0353995462101662,0.0403189502798664,0.0718427969364732,0.72,0.72,0.7,0.62,0.64,100,1,0.00001,0.01,5,目前最好
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.68,0.7,0.676190476190476,0.925187129701649,0.290052700922266,0.688095238095238,0.0469041575982343,0.189571886101289,0.0764133644565772,0.0353995462101662,0.0403189502798664,0.0718427969364732,0.72,0.72,0.7,0.62,0.64,100,1,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.656,0.625,0.661904761904762,0.909681938431938,0.263219664677465,0.643452380952381,0.0909945053286186,0.233853586673371,0.150018895257365,0.0341390384973497,0.0236648435191759,0.0505689707724872,0.7,0.76,0.68,0.62,0.52,100,1,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.68,0.7,0.676190476190476,0.925187129701649,0.290052700922266,0.688095238095238,0.0469041575982343,0.189571886101289,0.0764133644565772,0.0353995462101662,0.0403189502798664,0.0718427969364732,0.72,0.72,0.7,0.62,0.64,100,1,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
