acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,Name
0.8602836879432625,0.866904761904762,0.8285714285714285,0.5529004329004329,0.9671617293568513,0.8907936507936508,0.06449612791143068,0.07839717329116752,0.11952286093343935,0.18350419061288295,0.023253685765353384,0.04696760085804145,model
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,Name
0.85177304964539,0.866904761904762,0.7714285714285714,0.5682539682539682,0.9576846980029355,0.8922222222222222,0.0617469471196565,0.08779872880654566,0.16288220358559113,0.25263788459109343,0.028169470369223834,0.04578185455065417,model
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,Name
0.8560283687943262,0.8619047619047618,0.8285714285714285,0.5438095238095239,0.9670029991981212,0.89515873015873,0.06420300658869033,0.07854887843791834,0.11952286093343935,0.18508440190265738,0.023213180434848178,0.0384781516342352,model
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,Name
0.8560283687943262,0.8764285714285714,0.7333333333333333,0.5714285714285714,0.9522792925975301,0.8802380952380953,0.06420300658869033,0.08243736026430576,0.12417528390862187,0.2573411933521689,0.01917766131468519,0.040314804311964825,model
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,Name
0.8560283687943262,0.8619047619047618,0.8285714285714285,0.5438095238095239,0.9670029991981212,0.89515873015873,0.06420300658869033,0.07854887843791834,0.11952286093343935,0.18508440190265738,0.023213180434848178,0.0384781516342352,model
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,Name
0.85177304964539,0.866904761904762,0.7714285714285714,0.5682539682539682,0.9576846980029355,0.8922222222222222,0.0617469471196565,0.08779872880654566,0.16288220358559113,0.25263788459109343,0.028169470369223834,0.04578185455065417,model
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,Name
0.14414893617021277,0.0,1.0,0.14414893617021277,nan,0.4565079365079365,0.010704580743350053,0.0,0.0,0.010704580743350053,nan,0.09149196573141732,model
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,Name
0.8602836879432625,0.866904761904762,0.8285714285714285,0.5529004329004329,0.9671617293568513,0.8907936507936508,0.06449612791143068,0.07839717329116752,0.11952286093343935,0.18350419061288295,0.023253685765353384,0.04696760085804145,model
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,Name
0.6867907801418439,0.724047619047619,0.47619047619047616,0.2498901098901099,0.8936100936100935,0.6534126984126984,0.13689978558307359,0.18788867500467224,0.24971639242146465,0.1403708216941415,0.03426619551457585,0.09778288290630618,model
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,Name
0.4675531914893617,0.44000000000000006,0.6571428571428571,0.1966919959473151,nan,0.5515079365079365,0.32162382602745365,0.42632147494584416,0.35856858280031806,0.11462353324256412,nan,0.08931366405567312,model
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,Name
0.8516843971631205,0.8711904761904762,0.7333333333333333,0.5086691086691086,0.9513122171945702,0.9066666666666666,0.047596146396036404,0.05440098455158145,0.07221786137191952,0.1285251539065947,0.012202255067877314,0.052337644434415596,model
