id,bg,bg_trunk
571,108505.7545,40354.19467028808
217,102890.3964,41836.500004240064
203,91752.73438,32655.468754999994
565,98315.33845,35957.35629133911
202,113834.5752,30747.59911760711
564,123887.6018,58136.01469520264
570,120275.4089,36604.24801132812
216,95551.17188,43417.578129999994
558,124797.1898,48537.78195467492
799,101032.5843,43989.01195045166
766,96890.98166,38005.853139002385
772,112385.4487,60521.45764617629
49,109332.3692,35737.65304399414
809,109904.8519,61069.15472592773
75,71342.70724,31211.304868667707
835,128023.6234,64530.15497964198
61,107330.4775,37940.61324218749
821,110972.3016,53292.308969370766
612,72646.14868,24363.32397296875
174,120902.7832,24244.13451835938
160,81864.41394,26956.37322353691
606,92276.15179,28924.584407870178
148,113573.8396,47933.809845361335
389,119550.9766,59041.52820140991
376,121811.3282,50540.248105168124
410,84749.61319,39832.928562467045
404,113263.5003,46917.887556622314
362,84177.84346,32529.41738883301
438,105575.0151,54003.587979791264
366,120292.7895,48409.033564331054
400,98569.05335,49565.36704018555
414,85035.43927,27000.19681223369
372,91301.20182,34685.44807396729
428,111907.7015,46010.39887243652
399,150506.8829,41228.28112387695
602,106765.5643,32471.489669262693
164,91511.32813,39424.609379999994
170,101900.8409,44977.588902179275
616,95189.87617,35728.24286921875
158,116479.3307,44312.25154458695
819,119905.6857,54159.074371875
59,173059.4039,57937.95034775391
825,94943.3756,39482.302949501114
65,117481.1604,52936.03825339355
831,122040.7947,47804.84576014802
71,112160.6041,55647.6024253479
776,112216.1198,50254.88856831055
762,111876.4938,54903.19918205751
789,158420.2118,54535.44751777343
212,84397.56042,41419.74228950683
574,146031.7301,58249.74064481858
560,103393.3975,35943.22269531251
206,98410.99548,18920.940487324217
548,102554.0513,48836.51508326417
549,142083.5011,54940.96254515003
561,94748.72226,46135.16532900377
207,92350.4122,57806.551779772955
213,121531.6406,30165.380834375
575,106278.1448,32785.024987988276
788,97172.67838,46770.53604601562
763,99140.42983,29754.31046961194
777,129931.5839,58167.6574168457
70,99297.17921,55722.95931940552
830,87272.57373,39209.93920851563
64,119379.5522,56685.83687559815
824,87722.40056,36789.30189666992
58,97662.55133,34057.21234074219
818,101832.3294,40662.228405889895
159,106430.7236,42925.71848830566
171,102506.2295,46013.8711015625
617,107049.801,54152.98956811524
603,73006.75561,27253.761630568304
165,111387.6738,42638.38878751977
398,100934.4764,43275.99887619629
429,128095.892,43022.229097167976
415,112881.3227,46068.99512431641
373,87524.39575,33491.6170100708
367,92751.13463,44216.290010249024
401,95367.57813,34256.640629999994
371,142976.0207,41557.87349464721
417,73513.22647,27124.105666166986
403,117357.55,34005.76166992188
365,113504.5096,41266.387529687505
359,77432.85571,30025.04666808265
615,80503.13701,37045.958740568414
173,84773.69807,38667.8672899707
167,99023.68095,22618.694428948
601,114030.18,42770.605109863274
99,153106.5295,60375.937201537075
629,73602.60489,32078.49434388794
8,121876.4154,52265.813396835
832,115412.34,51125.076175537106
72,83097.72959,27527.726461948245
198,157448.8642,27765.26800859376
826,102006.6324,48620.033706152346
66,129576.2982,47219.87463127442
761,86740.54606,44539.272775087884
775,105994.0101,30333.113150231933
749,94664.7702,35251.35918925781
205,76403.23806,22405.131736385316
563,111157.6843,34145.174000317376
577,100951.7268,32971.744710003666
211,81218.14728,40902.44293429688
239,132338.2993,43522.04588203126
588,135292.4876,53359.01064077148
589,85766.32397,31454.77216641113
238,107580.0323,42431.34493732911
576,86149.03474,28123.01243546509
210,76288.55109,29713.14313101562
204,109744.5679,58530.77891379394
562,107393.5795,46418.819444458015
748,95345.97813,48168.38170971192
774,79983.34551,19823.144756518122
760,103271.1783,35393.84693833036
199,98395.26027,50022.64773643066
67,94980.07813,36090.234379999994
827,81765.78773,37120.174574597484
73,111805.5279,56735.793799658204
833,140558.808,34728.34924685095
9,99957.6732,35391.54910026856
628,216239.049,45915.20866415405
166,118574.8603,48386.24650376587
98,77064.16457,30929.727726127923
600,108550.5096,50963.06147988282
614,119076.0315,49234.79004492187
172,93260.23369,22767.020265317376
358,81901.70288,38258.5144034375
402,119260.0577,52132.24253734131
364,154941.4452,64135.92408726091
370,118157.4646,60749.01123085938
416,106025.1855,46448.84175000001
459,72602.31144,31351.779790144377
317,110323.0858,26501.541152783204
471,102507.48,59281.57265136718
465,102085.857,42190.94008410645
303,102876.0733,38496.72826692821
897,131027.8607,78285.00702797242
129,148644.4092,71571.65529375
883,122666.0128,52341.927502822145
673,115626.709,50073.2666171875
115,108649.2157,53265.23780998535
101,117419.3481,35907.1654828125
667,110219.3451,52839.99443776856
854,96742.9311,56749.16394395387
14,70056.72184,20865.6663132666
840,141299.7661,57422.87787444459
698,125111.0735,47152.67140039062
868,147946.6227,50595.961723590095
28,81217.54224,29007.84503922485
707,95057.46991,31658.23915238079
713,165160.448,63370.25074261964
908,105294.6637,37124.348866994886
539,105604.4268,34149.0762140625
263,94120.62861,28745.607391242644
505,117064.8743,56249.615510937496
511,113003.9883,48769.340549145505
277,103996.3761,43981.53739637549
288,85912.35938,24140.112309687494
289,102873.8806,31290.014541650395
510,109912.1257,42994.66695976563
276,113459.4296,29573.108837365726
262,120166.6443,45250.54322578125
504,100645.7418,36755.1762614813
538,109799.9963,37238.305874127196
909,131829.1938,37124.79047968751
712,119750.3323,56639.35970813129
706,129868.8142,49189.08006914062
29,92076.9013,33331.397736819854
869,74959.8622,29652.261850573734
699,115140.4858,31095.104253979487
841,90888.29802,35073.37262021973
15,90859.27578,43116.29913621703
855,92792.02492,45841.10037471191
100,113810.6968,57201.917793042
666,90633.20313,35916.015629999994
672,121794.6533,49142.34006757813
114,117231.3435,46055.58040795899
882,87575.0,46977.34375
896,103934.8012,50140.897235003664
128,118427.4559,41824.5510499939
464,82240.90576,34174.34692210937
302,133067.6927,57909.022218861515
316,93235.15625,34147.65625
470,100434.3047,50149.10743437499
458,123760.5598,38904.69575823117
328,107704.3124,47927.10454859008
300,97760.20851,55796.987055379635
466,82715.03448,29910.964960957033
472,111026.3101,61375.85216466675
314,113938.5247,53238.92866499633
499,93373.53362,32918.90287125122
658,134396.1502,64628.46335010897
880,91853.6099,34570.6938805603
894,127725.0869,45346.251939062495
664,104993.907,48166.077149585064
102,94481.64063,43721.484379999994
116,79279.38194,29590.50512038941
670,99733.20498,42403.42786513183
843,110675.5075,48857.69437842597
857,91500.57197,30913.526732270067
17,84494.71692,29073.366486650397
738,121800.5859,44422.94307773438
710,106420.1045,32680.942390625
704,132719.009,40496.87512759754
248,145463.5867,44292.515070930865
274,118322.038,39293.9560201048
512,92132.48277,30639.36594871094
506,123028.3369,35766.036983257756
260,116750.5997,40407.93902495118
507,89547.76099,37056.179447031245
261,97393.26668,48531.50367951172
275,111745.6262,29648.362822263618
513,76266.18401,37072.05131382388
249,100034.2958,35680.60694196778
705,116868.7111,63926.24251403198
711,82846.41205,31265.84906171875
739,108374.0084,50068.02433017579
16,115787.5768,48959.94081367187
856,108477.6028,46437.64456330566
842,92637.94847,41414.93934411119
117,135576.775,35983.04579878709
671,96090.23438,36133.593754999994
665,125541.9316,68819.184613787
103,116562.7845,37406.834594806205
895,122250.1436,45113.781295312496
881,123572.4092,48539.754903124995
659,89993.33362,40540.24522299718
498,133711.5845,25956.77318301369
473,128148.6647,49857.35011820236
315,101745.7413,37614.57386530761
301,79021.16096,22414.54210333591
467,87132.43542,40247.38333412353
329,107540.783,28529.918364532467
463,94933.75026,33468.70179808594
305,100718.2926,46982.81591542969
311,145761.2374,52598.30448115528
477,145830.0408,48835.120861213596
339,153959.514,75946.51973730468
488,133071.1037,57961.27827962037
107,115108.4276,32053.351380896973
661,100946.3643,38195.16508125
675,111414.5313,36784.9453625
113,103690.0391,31494.279517480463
885,103695.9421,54633.2714181694
649,122055.7311,36178.22228983091
891,104059.5341,46145.18770587338
846,81869.52232,29895.369182792972
852,137130.146,47243.82929784934
12,124120.4874,55930.39125818481
715,107072.7367,53394.706495227045
701,109118.3853,68045.48262055664
729,111250.6771,47460.43204384766
517,111872.654,22411.260643676753
271,92998.06118,38048.0313299939
265,124151.9726,69661.1155901123
503,132809.733,66188.15347119141
259,116403.0685,32817.8497177346
258,107846.762,37655.36805567323
264,117549.2418,44641.052316357425
502,90625.91754,41822.01367037109
516,122017.2924,54881.12087916215
270,76623.06137,28922.849272832027
728,92256.20782,49508.110652031246
700,120722.6962,45906.17385996079
714,96907.40274,38663.70399808716
13,102826.7,59015.8728515625
853,110508.4463,42083.709483593746
847,76271.69724,33930.4016162207
890,105715.5973,42841.06323400846
648,96079.72639,45886.62452613891
884,123983.293,49260.552948730474
674,106752.5265,46332.92883612061
112,136703.0947,62106.961918017565
106,79465.61937,42354.906555668946
660,127897.0258,53077.26034284668
489,114179.1156,28525.069410106487
338,140374.9182,69884.1688713867
310,158456.2656,53223.25448156815
476,132851.7733,54412.01089841919
462,129354.46,46572.12249703586
304,148533.5959,45088.023954809556
474,117048.5876,45782.89677298948
312,119066.5419,53225.87390236002
306,94895.12931,30514.635806429447
460,119770.106,52042.56964226502
448,76972.05707,19264.945027863905
110,69680.0663,24103.013360817262
676,108553.8864,51019.39199997559
662,106533.2944,44900.88317252764
104,160488.9451,76100.29529059904
892,103538.0365,38561.50446389308
886,88027.73438,48485.156254999994
138,116690.1306,49039.508041406254
879,112074.995,39081.735570068355
39,88355.13227,27501.194434335266
851,97226.79043,49519.26412766235
689,70659.58871,28696.195632149655
11,114757.5806,54538.54983828125
845,65308.38677,25499.6244801023
702,118819.9799,33253.923237263385
716,99719.54788,30401.2828901553
500,96382.32797,39008.06814651609
266,121829.7546,57167.687949609375
272,108963.2416,29994.144462548822
514,105395.1859,27985.868879083253
528,120843.6993,60969.64336127929
299,92494.92954,33406.121800742185
298,169394.3022,86006.2442883655
529,87460.84276,36615.73717970249
273,104233.623,46404.91401562501
515,91134.03941,39935.539623623044
501,115843.0279,30470.414471510303
267,83722.99913,29312.235725153805
717,86850.14038,57838.750456904294
703,106001.6208,31297.75118235298
844,66038.41125,30143.331759338384
10,83243.76064,32093.050440111692
688,117623.8732,25746.308201373293
850,119388.6325,55193.997066802986
38,113629.2362,45509.92009892578
878,135420.6207,49035.25112449951
887,99321.81934,41370.000980625
139,90284.76563,30948.437504999994
893,98222.23944,53161.74289737814
663,115598.763,48217.26906589673
105,114333.9847,30172.12711064698
111,108728.5241,47086.93296306762
677,106693.0467,49864.319258628435
449,107050.7227,55043.71952617187
307,125221.3245,37967.314871704104
461,100985.5825,48675.127910156254
475,106907.006,43734.50279857591
313,113517.5307,33188.061118396
478,82396.9084,35085.58262268679
336,65182.5145,30381.039528699024
450,71340.72424,23306.070805246578
444,78458.98669,33270.47179742188
322,105954.8796,38403.97856850586
493,113421.9023,53043.8476125
487,115691.3384,54064.35189639892
108,100189.4623,50516.38300007324
652,125873.7842,29671.565531539352
134,77762.61285,25499.12188320313
120,88374.12259,28005.001557285155
646,117545.4319,39293.93327329101
875,100283.5224,46916.920345404054
35,104735.6003,37148.07130830079
861,122302.5419,51870.13986142578
21,91734.375,28425.0
849,119971.3623,43201.81273945312
691,85764.68865,30599.091746685852
685,147416.3184,33835.32423823881
726,123960.1707,45160.45951835938
732,135103.6203,55940.6432964368
901,69107.82471,32204.10156546875
518,119850.5198,34852.50128345947
242,116194.1662,43264.304749804694
524,82522.00789,38714.006765199985
530,73851.39678,38246.910174301054
256,120870.8491,42403.26344097291
281,89886.72921,32585.927120308843
295,115416.193,37993.860236328124
294,101575.6336,35533.51505065308
280,121958.7891,54854.956092187495
531,89514.81618,35887.76209522216
257,92454.87291,23988.32679793946
243,114454.4888,32001.667068432624
525,94079.29688,52254.687504999994
519,94554.22086,41339.981277938234
900,102296.8068,54653.593268505865
733,71127.75315,29828.547913835413
727,122432.4097,25840.502961718754
684,112932.9586,41543.00689406738
690,94717.22937,40401.96844470703
848,88733.64541,43441.835076748044
20,127518.1174,61201.03594858399
860,80034.37042,36840.934751054694
34,94793.4324,29284.13267160645
874,116765.6495,48826.281678774845
121,120605.7092,59767.8547078125
647,124923.278,44074.75164804474
653,111489.2738,51126.66568875777
135,144730.0302,55761.174277301034
109,95058.59375,24687.890625
486,137750.0697,39191.64219069213
492,124526.9338,28574.78660227661
445,66766.04358,31345.34120268066
323,94440.43808,48730.77955644044
337,116344.0386,28224.36397841797
451,99313.68232,53968.07224927439
479,134513.7537,48604.99625385685
309,91843.98994,23336.48271114868
321,124403.324,26479.090148813935
447,90342.99058,24509.325470601732
453,163437.831,40902.94814172364
335,115909.0841,40974.69690603882
484,91192.96875,45920.703125
490,80031.90828,26528.237470284068
679,151780.3955,68720.09276562501
645,109034.2478,43645.392712719724
123,100694.6269,41794.77472714844
137,127392.338,47774.52789803421
651,130014.1811,63424.5872126709
889,121069.8853,37568.79277070312
862,81085.96802,39920.53985837891
22,109452.0989,72878.28480164184
876,102501.8929,40447.30381918946
36,134258.1859,42146.292940405285
686,113268.9476,43832.7789293457
692,208086.5194,48141.56938004086
719,117729.3274,42246.16699960937
731,104895.6552,26688.65609142647
725,108899.3252,54845.500201037124
902,110891.432,36395.96179045997
269,113221.283,40416.3456373291
255,133868.6184,44415.02140994552
533,167793.4479,63221.48439902344
527,88126.78364,34869.428812119135
241,96391.69506,26375.964888129005
296,145168.5184,73587.15206856791
282,126430.2135,58614.31365106201
283,105087.3391,32695.603260156247
297,91749.21875,33772.65625
526,146284.9849,42529.89036063047
240,99856.28874,37217.95901282715
254,67665.53815,29616.186404394524
532,116000.0156,39732.71360567627
268,116739.4092,53552.596295642084
903,87612.61606,33594.48818097822
724,107804.4644,42511.6519
730,91684.81944,35266.04968368287
718,145758.7419,72739.57837625047
693,97675.35528,44491.13180577317
687,113682.8333,38072.2689842041
37,97005.98001,51918.00117012573
877,114496.1453,37935.542600749395
23,114085.2841,43930.00023766424
863,104086.7353,48946.46039384155
136,107719.1095,58012.46853797254
888,86758.98438,34661.328129999994
650,90075.2423,29583.46584507446
644,101559.3936,32662.17818023071
122,80933.06308,20785.699260877693
678,132365.896,63370.61037072755
491,124957.3454,44473.51977526446
485,91853.00411,44446.62397898147
452,100488.1264,40207.151887013424
334,131730.5042,54034.6366896331
320,93568.45903,46092.196758511214
446,117388.6335,46612.19760885014
308,91233.47908,49663.80467993149
442,89705.41983,45918.24056974609
324,126523.4717,44745.960957812495
330,104050.927,53529.21302600097
456,142467.3445,59861.45533984376
318,116485.3406,55727.55920886627
481,108469.905,49874.831513671874
495,170786.7422,53062.89444456788
126,89676.48085,31005.4783513733
640,98917.43838,28755.453484417158
898,104602.7021,33175.344678124995
654,86831.86716,38463.74803844848
132,88477.44665,28973.30953106693
668,118546.051,69158.49606835938
683,85954.92188,31043.643040888666
697,110860.6262,41654.908670703124
867,129411.4016,46447.72728359375
27,95928.125,28130.078125
873,123064.9283,55098.48056631039
33,104462.1829,41264.55506949463
734,110755.8382,48346.14167524311
720,95072.02954,45818.477599082034
708,99971.93745,35199.41076588441
907,106701.3974,38182.67579279175
536,125104.4305,43974.752552001955
250,84006.14323,34836.4546557299
244,130505.9767,37450.34014528198
522,117555.2672,32484.469470507815
278,110420.7516,50882.94032070313
293,132073.8403,45311.3754676941
287,116217.9932,39135.4980828125
286,103213.2328,41306.996231487465
292,74140.61737,19008.913134923103
279,75585.33984,19144.47655875
245,114024.8536,59789.82499381118
523,114085.3214,33961.992237402344
537,101144.9295,36461.875529663084
251,108450.3073,32194.014098553467
906,127406.2594,52828.437664422134
709,101443.2876,32496.683805902096
721,75244.83566,25847.18589498535
